Input Image,Style Image,MSE,MAE,PSNR,SSIM_LUMINANCE,SSIM_CONTRAST,SSIM_STRUCTURE,SSIM,MSE_NORM,PSNR_NORM,TOTAL_NORM
input,mstyle3,104.4430482,159.5048131,27.94200823,0.977390576,0.999960594,0.805132217,0.786897631,0.143667855,0.09688492,0.010953024
chimi,mstyle1,104.5948105,164.1454137,27.93570223,0.979772191,0.990796143,0.719963722,0.698908029,0.141515035,0.095364928,0.009432163
8E45872E-4DE9-405A-A7DC-0EE81538A4DB,the_artist's_garden_at_vetheuil_1970.17.45,106.8022561,124.1212837,27.84499934,0.999896402,0.955252298,0.918661953,0.877463029,0.110201387,0.073501969,0.007107467
matt5,starry_night,107.0631711,78.14970999,27.83440258,0.98540842,0.98409778,0.85017841,0.824450514,0.106500186,0.070947735,0.006229504
8E45872E-4DE9-405A-A7DC-0EE81538A4DB,starry_night,108.0489264,106.7059879,27.79459905,0.997132712,0.952222869,0.897480618,0.85215118,0.092516785,0.06135352,0.004837006
IMG_2328,munch,108.8215652,158.2574894,27.76365393,0.997551259,0.943763667,0.907639786,0.854499867,0.081556543,0.053894532,0.003755913
IMG_2328,mstyle1,108.3592486,146.444095,27.78214376,0.945469871,0.987348821,0.559990319,0.522755758,0.08811472,0.058351307,0.002687806
IMG_2328,mstyle3,109.912519,148.9811321,27.720332,0.989795011,0.981628021,0.709025355,0.688896492,0.066080853,0.043452245,0.001978071
IMG_2328,dali,110.8273057,158.6021099,27.68433585,0.998442181,0.90222071,0.846393622,0.762444251,0.053104175,0.034775761,0.001408035
IMG_2328,bazille_and_camille_(study_for__dejeuner_sur_l'herbe_)_1970.17.41,111.9465576,158.9134675,27.64069618,0.998022042,0.904131296,0.83040776,0.749312598,0.037227065,0.024256886,0.000676639
IMG_2328,mstyle4,112.6976002,157.9368204,27.61165693,0.99579609,0.877199413,0.788824305,0.689047296,0.026573174,0.017257287,0.000315984
IMG_2328,mstyle2,113.6647421,155.6058708,27.5745459,0.994873685,0.938882855,0.672428957,0.628095613,0.012853814,0.008312072,6.71069E-05
IMG_2328,starry_night,114.0918358,156.5919271,27.55825792,0.994837325,0.902172999,0.62863241,0.564207252,0.006795289,0.004386031,1.68158E-05
IMG_2328,the_artist's_garden_at_vetheuil_1970.17.45,114.3587525,156.9022763,27.54810952,0.994597979,0.924759821,0.768532934,0.706869116,0.003008952,0.001939866,4.12597E-06
IMG_2328,ships_riding_on_the_seine_at_rouen_1970.17.43,114.5708675,158.3690998,27.54006159,0.994042709,0.878762832,0.71602075,0.62546402,0,0,0
